date,period,item_id,name,query,title,url,price_original,price_promo,price_final,qty_base,unit,unit_price_base,in_stock,promo_flag
2025-09-16,2025-09,papel_higienico_higienol_plus_4un,Papel higiénico Higienol Premium doble hoja 30 m 4 un,PINNED,Papel higiénico Higienol Premium doble hoja 30 m 4 un,https://supermercado.laanonimaonline.com/limpieza/papeles-y-bolsas/papel-higienico/papel-higienico-higienol-premium-doble-hoja-30-m-4-un/art_27318/,305.0,3538.46,3538.46,1.0,unit,3538.46,True,True
2025-09-16,2025-09,pecho_cerdo_delipork_kg,Pecho de cerdo c/ manta Delipork (Kg),PINNED,Pecho de Cerdo c/ Manta Delipork (Kg),https://supermercado.laanonimaonline.com/carniceria/pecho-de-cerdo-c-manta-delipork-kg/art_1507/,9890.0,9890.0,9890.0,1.0,unit,9890.0,True,True
2025-09-16,2025-09,lavandina_gel_vim_700cc,Lavandina gel Vim x 700 cc,PINNED,Lavandina Gel Original Poder Desinfectante Vim x 700 cc.,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/lavandina/lavandina-gel-original-poder-desinfectante-vim-x-700-cc/art_28306/,3000.0,3000.0,3000.0,0.7,l,4285.714285714286,True,True
2025-09-16,2025-09,queso_cremoso_cremon_laserenisima_1kg,Queso cremoso Cremón La Serenísima x 1 kg,PINNED,Queso Cremoso Cremón La Serenísima x 1 kg.,https://supermercado.laanonimaonline.com/frescos/queso-cremoso-cremon-la-serenisima-x-1-kg/art_1619/,15450.0,15450.0,15450.0,1.0,kg,15450.0,True,True
2025-09-16,2025-09,limpiador_vidrios_mr_musculo_360cc,Limpiavidrios Mr. Músculo aerosol x 360 cc,PINNED,Limpiavidrios Mr. Musculo Aerosol 360 cc,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/vidrios-y-multiusos/limpiavidrios-mr-musculo-aerosol-360-cc/art_28868/,3950.0,3950.0,3950.0,0.0,l,,True,True
2025-09-16,2025-09,fideos_tallarines_la_anonima_500g,Fideos Tallarín La Anónima x 500 g,PINNED,Fideos Tallarín La Anónima x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-la-anonima-x-500-g/art_2021/,1415.0,1750.0,1750.0,0.5,kg,3500.0,True,True
2025-09-16,2025-09,bastones_merluza_la_300g,Bastones de merluza rebozados La Anónima x 300 g,PINNED,Bastones de Merluza Rebozados La Anónima x 300 gr.,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/bastones-de-merluza-rebozados-la-anonima-x-300-gr/art_3122/,2950.0,2950.0,2950.0,0.3,kg,9833.333333333334,True,True
2025-09-16,2025-09,harina_morixe_0000_1kg,Harina de trigo 0000 Morixe x 1 kg,PINNED,Harina de Trigo 0000 Morixe x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harinas/harinas-de-trigo/harina-de-trigo-0000-morixe-x-1-kg/art_2046/,1300.0,830.0,830.0,1.0,kg,830.0,True,True
2025-09-16,2025-09,queso_rallado_tregar_40g,Queso rallado Tregar x 40 g,PINNED,Queso Rallado Tregar x 40 g.,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-rallado-tregar-x-40-g/art_1318/,1850.0,1850.0,1850.0,0.04,kg,46250.0,True,True
2025-09-16,2025-09,desodorante_ambiente_glade_potpourri_380cc,Desodorante de ambientes Glade potpourrí aerosol x 380 cc,PINNED,Desodorante de ambientes Glade Aerosol Potpourrí 380 cc,https://supermercado.laanonimaonline.com/limpieza/aromatizantes-y-desinfectantes/desodorante-de-ambientes-glade-aerosol-potpourri-380-cc/art_26678/,3200.0,3200.0,3200.0,0.0,l,,True,True
