period,item_id,name,query,title,url,brand_tier,cba_flag,category,in_stock,promo_flag,price_original,price_promo,price_final,unit_price_base,qty_base,expected_qty,cost_item_ae,substitution
2025-09,arvejas_partidas_500g,Arvejas Secas Partidas Ramoneda x 500 g.,PINNED,Arvejas Secas Partidas Ramoneda x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/legumbres/arvejas-secas-partidas-ramoneda-x-500-g/art_2221/,estandar,si,,True,True,1650.0,1650.0,1650.0,3300.0,0.5,0.0,,
2025-09,garbanzos_500g,Garbanzos Secos Ramoneda x 500 g.,PINNED,Garbanzos Secos Ramoneda x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/legumbres/garbanzos-secos-ramoneda-x-500-g/art_7028/,estandar,si,,True,True,2700.0,1890.0,1890.0,3780.0,0.5,0.0,,
2025-09,sal_fina_500g,Sal Fina Celusal Paquete x 500 g.,PINNED,Sal Fina Celusal Paquete x 500 g.,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/sal-fina-celusal-paquete-x-500-g/art_2118/,estandar,si,,True,True,1350.0,1350.0,1350.0,2700.0,0.5,0.0,,
2025-09,vinagre_alcohol_1l,Vinagre de Alcohol s/ Tacc Favinco x 1 Lt.,PINNED,Vinagre de Alcohol s/ Tacc Favinco x 1 Lt.,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/vinagre-de-alcohol-s-tacc-favinco-x-1-lt/art_14232/,estandar,no,,True,True,1450.0,1450.0,1450.0,1450.0,1.0,0.0,,
2025-09,mayonesa_hellmanns_475g,Mayonesa Clasica Doy Pack Hellmanns x 475 g.,PINNED,Mayonesa Clasica Doy Pack Hellmanns x 475 g.,https://supermercado.laanonimaonline.com/almacen/aderezos/mayonesa/mayonesa-clasica-doy-pack-hellmanns-x-475-g/art_18098/,premium,no,,True,True,2800.0,2800.0,2800.0,5894.736842105263,0.475,0.0,,
2025-09,mostaza_savora_250g,Mostaza Original Doy Pack Savora x 250 g.,PINNED,Mostaza Original Doy Pack Savora x 250 g.,https://supermercado.laanonimaonline.com/almacen/almacen/mostaza-original-doy-pack-savora-x-250-g/art_20083/,estandar,no,,True,True,1700.0,1700.0,1700.0,6800.0,0.25,0.0,,
2025-09,leche_entera_la_anonima_1l,Leche L.V. Entera La Anónima x 1 lt.,PINNED,Leche L.V. Entera La Anónima x 1 lt.,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-l-v-entera-la-anonima-x-1-lt/art_1824/,segunda,si,,True,True,2000.0,1990.0,1990.0,1990.0,1.0,0.0,,
2025-09,yogur_ilolay_bebible_1kg,Yogur Entero Bebible Frutilla Sachet Ilolay x 1 Kg.,PINNED,Yogur Entero Bebible Frutilla Sachet Ilolay x 1 Kg.,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-entero-bebible-frutilla-sachet-ilolay-x-1-kg/art_7103/,estandar,no,,True,True,114.0,114.0,114.0,114.0,1.0,0.0,,
2025-09,queso_cremoso_la_paulina_1kg,Queso Cremoso La Paulina Trozado x 1 kg.,PINNED,Queso Cremoso La Paulina Trozado x 1 kg.,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-la-paulina-trozado-x-1-kg/art_3611/,estandar,si,,True,True,1375.0,11350.0,11350.0,11350.0,1.0,0.0,,
2025-09,manteca_la_paulina_200g,Manteca La Paulina x 200 g.,PINNED,Manteca La Paulina x 200 g.,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/manteca-la-paulina-x-200-g/art_3614/,estandar,si,,True,True,4350.0,4350.0,4350.0,21750.0,0.2,0.0,,
2025-09,pan_mignon_kg,Pan Mignon (Kg),PINNED,Pan Mignon (Kg),https://supermercado.laanonimaonline.com/frescos/panes-y-tortillas/pan-mignon-kg/art_12063/,estandar,si,,True,True,4000.0,4000.0,4000.0,4000.0,1.0,0.0,,
2025-09,pan_lactal_best_600g,Pan Lacteado Grande Best x 600 g.,PINNED,Pan Lacteado Grande Best x 600 g.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/pan-lactal/pan-lacteado-grande-best-x-600-g/art_1662/,segunda,no,,True,True,4050.0,4050.0,4050.0,6750.0,0.6,0.0,,
2025-09,pan_lactal_lactal_460g,Pan de Mesa Blanco Grande Lactal Bimbo x 460 g.,PINNED,Pan de Mesa Blanco Grande Lactal Bimbo x 460 g.,https://supermercado.laanonimaonline.com/frescos/panificados/panes-de-molde-y-tortillas/pan-de-mesa-blanco-grande-lactal-bimbo-x-460-g/art_24387/,premium,no,,True,True,1749.0,4150.0,4150.0,9021.739130434782,0.46,0.0,,
2025-09,carne_picada_ev_500g,Carne Picada E/V Estancias LA x 500 g.,PINNED,Carne Picada E/V Estancias LA x 500 g.,https://supermercado.laanonimaonline.com/carniceria/carne-picada-e-v-estancias-la-x-500-g/art_1382/,estandar,si,,True,True,8390.0,8390.0,8390.0,16780.0,0.5,0.0,,
2025-09,nalga_feteada_ev_kg,Nalga s/ Tapa Feteada E/V Estancias LA (Kg),PINNED,Nalga s/ Tapa Feteada E/V Estancias LA (Kg),https://supermercado.laanonimaonline.com/carniceria/nalga-s-tapa-feteada-e-v-estancias-la-kg/art_1396/,premium,si,,True,True,2750.0,21550.0,21550.0,21550.0,1.0,0.0,,
